,uid,uname,pwd,upvoteCourses,reviewCourses,addedCourses,interest1,interest2,interest3
0,0,User0,abcs123,"[82, 45]",67,[],VR/AR,Machine Learning,Kotlin
1,1,User1,abcs123,"[7, 50]",40,[],Machine Learning,C,C
2,2,User2,abcs123,"[35, 24]",58,[],Python,Python,.NET
3,3,User3,abcs123,"[15, 58]",43,[],Unity,Java,.NET
4,4,User4,abcs123,"[11, 84]",45,[],Web Development,C++,.NET
5,5,User5,abcs123,"[27, 82]",98,[],C++,C++,C++
6,6,User6,abcs123,"[81, 76]",87,[],C++,Java,Kotlin
7,7,User7,abcs123,"[2, 6]",88,[],Flutter,Data Analysis,C
8,8,User8,abcs123,"[42, 31]",78,[],Unity,Web Development,Java
9,9,User9,abcs123,"[16, 72]",24,[],Machine Learning,C++,Java
10,10,User10,abcs123,"[26, 8]",35,[],VR/AR,C++,Web Development
11,11,User11,abcs123,"[97, 70]",38,[],Unity,Python,.NET
12,12,User12,abcs123,"[26, 75]",38,[],Kotlin,VR/AR,C
13,13,User13,abcs123,"[27, 29]",36,[],Machine Learning,C++,Web Development
14,14,User14,abcs123,"[42, 99]",26,[],.NET,C,.NET
15,15,User15,abcs123,"[18, 76]",90,[],C,Data Analysis,.NET
16,16,User16,abcs123,"[0, 35]",40,[],Python,Web Development,Python
17,17,User17,abcs123,"[18, 16]",44,[],Python,Machine Learning,.NET
18,18,User18,abcs123,"[69, 32]",92,[],Machine Learning,Web Development,Unity
19,19,User19,abcs123,"[22, 14]",36,[],C++,Data Analysis,Machine Learning
20,20,User20,abcs123,"[84, 3]",73,[],C++,VR/AR,C++
21,21,User21,abcs123,"[16, 1]",69,[],Kotlin,Kotlin,VR/AR
22,22,User22,abcs123,"[45, 30]",50,[],.NET,C,C++
23,23,User23,abcs123,"[75, 41]",44,[],Python,VR/AR,Web Development
24,24,User24,abcs123,"[2, 22]",18,[],Kotlin,Kotlin,VR/AR
25,25,User25,abcs123,"[33, 6]",5,[],C++,Data Analysis,Machine Learning
26,26,User26,abcs123,"[16, 94]",91,[],Unity,Python,Flutter
27,27,User27,abcs123,"[53, 67]",44,[],VR/AR,Machine Learning,C++
28,28,User28,abcs123,"[14, 95]",83,[],Unity,Web Development,Flutter
29,29,User29,abcs123,"[8, 60]",95,[],Kotlin,Flutter,Kotlin
30,30,User30,abcs123,"[57, 99]",27,[],C,.NET,Machine Learning
31,31,User31,abcs123,"[46, 65]",68,[],C++,Web Development,Flutter
32,32,User32,abcs123,"[75, 13]",71,[],Java,Python,Python
33,33,User33,abcs123,"[57, 64]",34,[],.NET,Machine Learning,C
34,34,User34,abcs123,"[28, 78]",13,[],Web Development,.NET,Java
35,35,User35,abcs123,"[5, 93]",94,[],Python,C,Unity
36,36,User36,abcs123,"[84, 66]",30,[],Flutter,Data Analysis,.NET
37,37,User37,abcs123,"[38, 58]",6,[],Unity,Unity,Java
38,38,User38,abcs123,"[82, 3]",67,[],C,Data Analysis,Web Development
39,39,User39,abcs123,"[7, 61]",81,[],Data Analysis,C,Python
40,40,User40,abcs123,"[51, 54]",6,[],Web Development,.NET,C++
41,41,User41,abcs123,"[87, 13]",52,[],Flutter,Kotlin,Web Development
42,42,User42,abcs123,"[62, 91]",91,[],C++,Machine Learning,Unity
43,43,User43,abcs123,"[56, 9]",12,[],Data Analysis,C,Web Development
44,44,User44,abcs123,"[10, 41]",98,[],Machine Learning,.NET,Unity
45,45,User45,abcs123,"[77, 18]",0,[],Machine Learning,C++,Java
46,46,User46,abcs123,"[8, 16]",20,[],C,Web Development,Machine Learning
47,47,User47,abcs123,"[35, 79]",83,[],Machine Learning,Python,VR/AR
48,48,User48,abcs123,"[81, 74]",61,[],Data Analysis,Unity,C++
49,49,User49,abcs123,"[70, 91]",25,[],Data Analysis,C,Web Development
50,50,User50,abcs123,"[41, 48]",36,[],.NET,Python,VR/AR
51,51,User51,abcs123,"[76, 67]",36,[],Web Development,Kotlin,.NET
52,52,User52,abcs123,"[37, 58]",7,[],Python,Kotlin,VR/AR
53,53,User53,abcs123,"[64, 77]",11,[],Unity,VR/AR,C++
54,54,User54,abcs123,"[55, 12]",73,[],Java,Unity,C
55,55,User55,abcs123,"[89, 14]",68,[],Kotlin,Unity,Machine Learning
56,56,User56,abcs123,"[83, 83]",92,[],Machine Learning,Unity,Kotlin
57,57,User57,abcs123,"[98, 70]",22,[],C,VR/AR,C++
58,58,User58,abcs123,"[92, 27]",22,[],Machine Learning,C++,VR/AR
59,59,User59,abcs123,"[55, 57]",50,[],Kotlin,Data Analysis,Flutter
60,60,User60,abcs123,"[29, 52]",63,[],Web Development,C,Web Development
61,61,User61,abcs123,"[43, 58]",95,[],VR/AR,Machine Learning,Flutter
62,62,User62,abcs123,"[51, 53]",4,[],.NET,VR/AR,Machine Learning
